feature,importance_lgb_qty,importance_xgb_peak
day_of_month,904,0.045850974
lag_105h_qty,597,0.023036398
rolling_std_15h_qty,565,0.029183146
rolling_mean_3h_qty,513,0.024280086
rolling_mean_15h_qty,505,0.016534032
lag_15h_rev,476,0.018787384
lag_15h_qty,471,0.40192348
lag_1h_rev,444,0.050234325
lag_1h_qty,443,0.07023744
hour,422,0.11679477
rolling_mean_7d_qty,359,0.023443729
lag_2h_qty,306,0.022433208
store_encoded,207,0.028651493
hour_cos,198,0.020151202
month,110,0.034316957
day_of_week,83,0.013223197
hour_sin,66,0.018481312
day_sin,57,0.015406953
day_cos,37,0.013272426
month_cos,24,0.0
month_sin,3,0.013757439
is_weekend,0,0.0
